06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
Leflunomide,D000077339,75706-12-6,Melanoma,MESH:D008545,,EIF1AD,24.55,,22535842
lipoteichoic acid,C009900,56411-57-5,Urinary Bladder Neoplasms,MESH:D001749,,PTGS2,9.84,,10582676|10873095|12442003|12664575|16098373|17093206|29396848|36115647
Dietary Fats,D004041,,Amphetamine-Related Disorders,MESH:D019969,,ACHE,27.13,,16470869
"3',4'-dihydroxy-4-monochlorobiphenyl",C543847,,Hypertrophy,MESH:D006984,,MAPK3,9.85,,12237323
Valproic Acid,D014635,99-66-1,Clear-cell metastatic renal cell carcinoma,MESH:C538445,,VEGFA,5.15,,25239121
6-formyl-5-isopropyl-3-hydroxymethyl-7-methyl-1H-indene,C000604529,,"Lymphoma, Non-Hodgkin",MESH:D008228,,BCL2,3.73,,26239085|3287162
1-(2-trifluoromethoxyphenyl)-2-nitroethanone,C576882,,Metabolic Diseases,MESH:D008659,,PPARG,5.83,,19589179
Benztropine,D001590,86-13-5,Chemical and Drug Induced Liver Injury,MESH:D056486,,PC,5.76,,25231249
Tetrachloroethylene,D013750,127-18-4,Prostatic Neoplasms,MESH:D011471,,PDE4D,35.96,,16740699|29662167
Ampicillin,D000667,69-53-4,Melanoma,MESH:D008545,,AKR1B10,7.52,,21499247
butylbenzyl phthalate,C027561,85-68-7,Neoplasm Metastasis,MESH:D009362,,IL6,46.33,,21937440|26101800
testosterone-3-carboxymethyloxime-bovine serum albumin conjugate,C045037,,Respiratory Distress Syndrome,MESH:D012128,,PROS1,11.74,,25070658
"N-(1,3-dimethylbutyl)-N'-phenyl-p-phenylenediamine quinone",C000729973,,"Cell Transformation, Neoplastic",MESH:D002471,,KRT19,11.96,,22011395
"carbidopa, levodopa drug combination",C009265,,"Liver Cirrhosis, Experimental",MESH:D008106,,ADORA2A,5.8,,16783407
Air Pollutants,D000393,,"Neoplasms, Experimental",MESH:D009374,,MAPK7,5.37,,29507229
manganese chloride,C025340,7773-01-5,Recurrence,MESH:D012008,,ABCB6,6.37,,35837087
"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide",D015123,55097-80-8,"Sarcoma, Synovial",MESH:D013584,,SS18,6.54,,27572315|9428816
ferrostatin-1,C573944,,Neoplasm Metastasis,MESH:D009362,,MMP2,40.94,,16475674|18398872|21209944|22321834|23707804|30603057
n-butoxyethanol,C017096,111-76-2,Tongue Neoplasms,MESH:D014062,,PTGS2,7.16,,16543248|22561872
octylmethoxycinnamate,C118580,,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,CAT,11.76,,11731445
Caffeine,D002110,58-08-2,"Osseous Heteroplasia, Progressive",MESH:C562735,,GNAS,4.08,166350,
naringin,C005274,10236-47-2,Osteoporosis,MESH:D010024,,BMP4,20.02,,36453845
spathulenol,C013258,6750-60-3,"Scleroderma, Systemic",MESH:D012595,,ACTA2,4.07,,24706986
Dexamethasone,D003907,50-02-2,Osteoarthritis,MESH:D010003,,FRZB,51.27,165720,
Famotidine,D015738,76824-35-6,Neoplasm Metastasis,MESH:D009362,,MAPK3,29.96,,22580338
Acrylamide,D020106,,Peeling Skin Syndrome,MESH:C564818,,SERPINB8,3.77,617115,
"lipopolysaccharide, E coli O55-B5",C482199,,Kidney Diseases,MESH:D007674,,SOD2,4.27,,19917352|21571061
desloratadine,C121345,,Neoplasms,MESH:D009369,,IL1B,6.64,,22467534
bisphenol S,C543008,,"Tuberculosis, Pulmonary",MESH:D014397,,MMP8,2.21,,24890593
4-dichlorobenzene,C018511,106-46-7,Pulmonary Fibrosis,MESH:D011658,,SPP1,14.2,,25216247
"apigenin-6,8-di-C-glycopyranoside",C530449,,Essential Hypertension,MESH:D000075222,,HMGB1,21.16,,34453990
cyanoginosin LR,C057862,,"Liver Neoplasms, Experimental",MESH:D008114,,CYP2F2,28.29,,11420682
pantogab,C016030,1977-33-9,"Mammary Neoplasms, Experimental",MESH:D008325,,PRLR,15.08,,16316942
cyanoginosin LR,C057862,,Colonic Neoplasms,MESH:D003110,,BCL2,50.85,,10223192|17404573|19147571
"1,2,7,8-tetrachlorodibenzo-p-dioxin",C445379,,Prostatic Neoplasms,MESH:D011471,,AHR,3.63,,20140206
4-(3-(1-adamantyl)-4-hydroxyphenyl)-3-chlorocinnamic acid,C480030,,Crohn Disease,MESH:D003424,,RELA,3.96,,36038634
Silicon Dioxide,D012822,7631-86-9,Esophageal Squamous Cell Carcinoma,MESH:D000077277,,TPI1,53.74,,21517111
Ethanol,D000431,64-17-5,Hypertension,MESH:D006973,,EDNRA,4.95,,12600921
brilliant blue,C006796,,HIV Seropositivity,MESH:D006679,,ALB,5.0,,17209195
nuciferine,C008692,475-83-2,Sea-Blue Histiocyte Syndrome,MESH:D012618,,APOE,5.17,269600,11095479
Dietary Fats,D004041,,"Leukemia-Lymphoma, Adult T-Cell",MESH:D015459,,CCR7,19.19,,26437031
Choline,D002794,62-49-7,Neoplasm Invasiveness,MESH:D009361,,MMP3,75.86,,20188714|26284488
Maleates,D008298,,"Arthritis, Experimental",MESH:D001169,,GSK3B,4.05,,16713974
sodium boranocarbonate,C503854,,HIV Wasting Syndrome,MESH:D019247,,IL6,19.89,,7979221
Troglitazone,D000077288,97322-87-7,"Arthritis, Rheumatoid",MESH:D001172,,TXNIP,80.4,,19192274
Particulate Matter,D052638,,"Leishmaniasis, Cutaneous",MESH:D016773,,IL10,2.63,,20102417
Clofibrate,D002994,637-07-0,Basal Cell Carcinoma,MESH:D002280,,SMO,38.93,605462,26950094|9581815
Dmt-NMe-Ala-Aba-Gly-NH2,C569763,,Severe Acute Respiratory Syndrome,MESH:D045169,,MAPK1,12.33,,20484496
Piroxicam,D010894,36322-90-4,Drug Eruptions,MESH:D003875,marker/mechanism,,,,11792017
Mercuric Chloride,D008627,7487-94-7,Colorectal Neoplasms,MESH:D015179,,PTPN12,57.33,114500,
2-methyl-5-isopropenylcyclohex-2-enone oxime,C540395,,Glucose Intolerance,MESH:D018149,,CYP1B1,4.27,,27036855
beta-glycerophosphoric acid,C031463,17181-54-3,Anophthalmos,MESH:D000853,,SOX2,4.55,,21532573
Lead,D007854,7439-92-1,Cerebrovascular Disorders,MESH:D002561,,IL17A,2.33,,29114965
Silicon Dioxide,D012822,7631-86-9,"Epilepsy, Temporal Lobe",MESH:D004833,,SLC1A1,9.42,,11906504
mono-(2-ethylhexyl)phthalate,C016599,4376-20-9,Brain Injuries,MESH:D001930,,TNFRSF13B,14.17,,23159883
triphenyl phosphate,C005445,115-86-6,Basal Cell Carcinoma,MESH:D002280,,ACADL,59.69,,36428691
Dietary Sucrose,D019422,,"Dermatitis, Contact",MESH:D003877,,SLC7A11,20.21,,25724174
Oxaliplatin,D000077150,,"Cholestasis, Extrahepatic",MESH:D001651,,TIMP1,43.65,,28789951
3-(4-methylphenylsulfonyl)-2-propenenitrile,C434003,,Proteinuria,MESH:D011507,,TGFB1,11.25,,12937228
"2,2',4,4'-tetrabromodiphenyl ether",C511295,,Intellectual Disability,MESH:D008607,,DNMT3A,31.93,,24614070
oleanolic acid 3-acetate,C052658,4339-72-4,Stroke,MESH:D020521,,IL6,12.07,,18319729
Manganese,D008345,7439-96-5,Fever,MESH:D005334,,IFNG,2.37,,18282668|3091246
Acetaminophen,D000082,103-90-2,"Liver Failure, Acute",MESH:D017114,,POMC,2.68,,15313186
cyanoginosin LR,C057862,,Nephrotic Syndrome,MESH:D009404,,EDN1,4.31,,34783119
St. Thomas' Hospital cardioplegic solution,C041711,,"Carcinoma, Hepatocellular",MESH:D006528,,GSTP1,29.25,,9029167
di-(5-methylhexyl)phthalate,C042791,41451-28-9,Endometriosis,MESH:D004715,,ESR2,3.91,,17625110
LY 353381,C115121,,"Cell Transformation, Neoplastic",MESH:D002471,,CCND1,14.83,,21726611|24362009
dimethyl phthalate,C024629,131-11-3,Amyotrophic Lateral Sclerosis,MESH:D000690,,TUBA4A,12.48,,28478440
Polysaccharides,D011134,,Edema,MESH:D004487,,TNF,7.53,,19874808
valdecoxib,C406224,,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,PHGDH,22.75,,26482881
salvianolic acid A,C066201,,Anemia,MESH:D000740,,PARP1,6.02,,20561897
Niclosamide,D009534,50-65-7,Autism Spectrum Disorder,MESH:D000067877,,MTTP,34.23,,35663546
Diethylnitrosamine,D004052,55-18-5,Aicardi-Goutieres syndrome,MESH:C535607,,USP18,3.48,617397,
Aflatoxin B1,D016604,1162-65-8,Adenocarcinoma of Lung,MESH:D000077192,,AHCY,105.56,,27602772
Soman,D012999,96-64-0,"Mammary Neoplasms, Experimental",MESH:D008325,,UCP2,24.48,,16316942
Bleomycin,D001761,11056-06-7,Chemical and Drug Induced Liver Injury,MESH:D056486,,PPARA,125.68,,24385052|38181850
Antidepressive Agents,D000928,,Torsades de Pointes,MESH:D016171,marker/mechanism,,,,19358226|9057687
ferric oxide,C000499,1309-37-1,Spinocerebellar Ataxia 17,MESH:C564616,,NQO1,11.67,,24413982
1-Methyl-4-phenylpyridinium,D015655,48134-75-4,Substance Withdrawal Syndrome,MESH:D013375,,ADORA1,3.27,,16226742
Colchicine,D003078,64-86-8,Chemical and Drug Induced Liver Injury,MESH:D056486,,GOT1,46.02,,25226513
Ammonium Chloride,D000643,12125-02-9,Glioma,MESH:D005910,,CSRP2,47.11,,38744347
"caffeine, sodium benzoate drug combination",C025741,,Azoospermia,MESH:D053713,,ALB,5.35,,27289041
Clofibric Acid,D002995,882-09-7,Tobacco Use Disorder,MESH:D014029,,CYP2A6,3.74,,15564629|16720336|22569203|26644138|28472521
tanespimycin,C112765,,Progesterone Resistance,MESH:C564871,,PGR,5.32,264080,
Poloxamer,D020442,106392-12-5,Entamoebiasis,MESH:D004749,,IL6,10.73,,16374615
Silver,D012834,7440-22-4,"Adrenocortical Carcinoma, Hereditary",MESH:C565972,,TP53,3.43,202300,
Paraquat,D010269,4685-14-7,"Carcinoma, Squamous Cell",MESH:D002294,,TRP53,55.42,,16543248|19435901|25125259|27923803
perfluorotetradecanoic acid,C000720111,,"Carcinoma, Hepatocellular",MESH:D006528,,MMP2,37.94,,20084675
Selenomethionine,D012645,1464-42-2,Edema,MESH:D004487,,COL2A1,4.75,,25194622|27028940|29908986|29935983
"2,3-pentanedione",C013186,600-14-6,Pulmonary Fibrosis,MESH:D011658,,FN1,18.44,,26817844
Air Pollutants,D000393,,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIj",OMIM:613489,,COG4,3.97,613489,
"1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole",C524478,,"Anemia, Aplastic",MESH:D000741,,TERT,3.78,609135,15814878
Air Pollutants,D000393,,Myocardial Reperfusion Injury,MESH:D015428,,HIF1A,8.92,,18549825|22050707
phenylglyoxylic acid,C012482,611-73-4,Adenocarcinoma,MESH:D000230,,CYP2E1,4.23,,16142352
tubocapsenolide A,C000721052,,"Lymphoma, Extranodal NK-T-Cell",MESH:D054391,,JAK3,5.71,,22705984|23689514
SB 203580,C093642,,Autistic Disorder,MESH:D001321,,EIF4G1,64.67,,20957522
Irinotecan,D000077146,,"Pneumonia, Pneumococcal",MESH:D011018,,MAPK1,8.4,,24894820
acetamide,C030686,60-35-5,Atrial Fibrillation,MESH:D001281,,MYPN,20.49,,30061737
alisol B 23-acetate,C526957,,"Pregnancy Complications, Cardiovascular",MESH:D011249,,TNF,7.93,,10716473
N(6)-(1-iminoethyl)lysine,C090663,,Anthracosis,MESH:D055008,,TNF,22.19,,20005085
Cadmium,D002104,7440-43-9,"Charcot-Marie-Tooth disease, Type 4E",MESH:C535301,,EGR2,3.62,605253,
Thimerosal,D013849,54-64-8,Burns,MESH:D002056,,POMC,5.59,,2968671
abemaciclib,C000590451,,Atherosclerosis,MESH:D050197,,CCL2,7.75,,12677255|12928151|20720404
NSC 689534,C558013,,"Lymphoma, Non-Hodgkin",MESH:D008228,,SHMT1,2.38,,17119116
artenimol,C039060,,Urinary Bladder Neoplasms,MESH:D001749,,MMP9,19.37,,30548095
Polystyrenes,D011137,,Head and Neck Neoplasms,MESH:D006258,,MAPK1,8.69,,15342401
"Sodium Chloride, Dietary",D017673,,"Neoplasms, Experimental",MESH:D009374,,RELA,6.71,,20932960
Thioacetamide,D013853,62-55-5,Dyskeratosis Congenita,MESH:D019871,,GAR1,8.8,,22299032
orantinib,C412603,210644-62-5,Breast Neoplasms,MESH:D001943,,KDR,9.6,,20135347|35917945
Retinoids,D012176,,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,TP53,29.26,,17290066|23435014|24688052|30381462
"3,4-dichloroaniline",C014464,95-76-1,"Sexual Dysfunctions, Psychological",MESH:D020018,,CYP17A1,3.0,,15890676
Sunitinib,D000077210,,Hypertension,MESH:D006973,,HMGB1,3.11,,32147540
cupric chloride,C029892,7447-39-4,Hypertension,MESH:D006973,,MDH1,16.18,,22228705
Hexachlorobenzene,D006581,118-74-1,Mental Disorders,MESH:D001523,,NOS1,3.66,,17426488
Rosiglitazone,D000077154,,"Liver Cirrhosis, Experimental",MESH:D008106,,MKI67,381.99,,25380136
"2,2',4,4',5-brominated diphenyl ether",C477694,,Tongue Neoplasms,MESH:D014062,,CRYAB,13.29,,19840781
sodium arsenite,C017947,13768-07-5,Schizophrenia,MESH:D012559,,MIR137,42.94,,21926974
magnolol,C005498,528-43-8,Atherosclerosis,MESH:D050197,,VEGFA,20.54,,15937083
CGP 52608,C092451,87958-67-6,"Enterocolitis, Necrotizing",MESH:D020345,,PARK7,4.09,,18806098
Bexarotene,D000077610,,Pulmonary Fibrosis,MESH:D011658,,FAM13A,10.88,,28166215
1-Methyl-3-isobutylxanthine,D015056,28822-58-4,Ischemic Stroke,MESH:D000083242,,F2,3.29,601367,
Silicon Dioxide,D012822,7631-86-9,Combined Immunodeficiency with Autoimmunity and Spondylometaphyseal Dysplasia,MESH:C564307,,ACP5,3.71,607944,
deoxynivalenol,C007262,51481-10-8,Autistic Disorder,MESH:D001321,,AR,63.77,,19167832
Maprotiline,D008376,10262-69-8,Autistic Disorder,MESH:D001321,,MAPK3,4.19,,30559488
Carbaryl,D012721,63-25-2,Amyotrophic lateral sclerosis 1,MESH:C531617,,FOS,6.44,,11796754
Cadmium,D002104,7440-43-9,"Leukemia, Myeloid, Acute",MESH:D015470,,MYC,61.19,,25956709
Calcium Chloride,D002122,10043-52-4,Parkinson Disease,MESH:D010300,,HMOX1,7.29,,21318773
baicalin,C038044,21967-41-9,Schizophrenia,MESH:D012559,,TP53,12.97,,18583979
Cadmium,D002104,7440-43-9,Heart Diseases,MESH:D006331,,SPP1,5.59,,23558518
dorsomorphin,C516138,,Acute Kidney Injury,MESH:D058186,,ALB,4.26,,2048579|21259293|24361871|28885000
Benzo(a)pyrene,D001564,50-32-8,Colonic Neoplasms,MESH:D003110,,CCNH,29.89,,30705370
Carbonyl Cyanide p-Trifluoromethoxyphenylhydrazone,D002259,370-86-5,"Liver Cirrhosis, Experimental",MESH:D008106,,HMOX1,15.25,,16025519|16610050|21163135|25380136
Atropine,D001285,51-55-8,Sepsis,MESH:D018805,,IL10,24.66,,11441115
chrysin,C043561,480-40-0,Liver Cirrhosis,MESH:D008103,,ARNT,40.26,,22271822
fatostatin,C545733,,Adenocarcinoma of Lung,MESH:D000077192,,BRAF,4.49,,22135231|26463840
chlorantranilipole,C517733,,Pancreatic Neoplasms,MESH:D010190,,SOD2,8.71,,11328670|17895890
perfluoro-n-nonanoic acid,C101816,375-95-1,Reperfusion Injury,MESH:D015427,,PLAU,36.87,,15181847
"1,2-Dimethylhydrazine",D019813,540-73-8,Stomach Neoplasms,MESH:D013274,,SERPINE1,151.15,,16367923
Water,D014867,7732-18-5,"Leishmaniasis, Cutaneous",MESH:D016773,,TNF,17.48,,20102417
sarpogrelate,C064294,86819-20-7,"Liver Cirrhosis, Experimental",MESH:D008106,,ACAT1,31.68,,25380136
RTKI cpd,C101044,170449-18-0,Antiphospholipid Syndrome,MESH:D016736,,PPARG,3.88,,28182703
Ivermectin,D007559,70288-86-7,Pulmonary Fibrosis,MESH:D011658,,IL1RN,7.48,,18403674
lupiwighteone,C000602100,,Chemical and Drug Induced Liver Injury,MESH:D056486,,AIFM1,4.28,,25743375
bisindolylmaleimide IX,C467001,,Fibrosis,MESH:D005355,,AKT1,3.63,,24448315
gossypol acetic acid,C028178,12542-36-8,"Mesothelioma, Malignant",MESH:D000086002,,SLC2A1,14.71,,22784439
"N-Methyl-3,4-methylenedioxyamphetamine",D018817,42542-10-9,Nervous System Diseases,MESH:D009422,,NOTCH1,3.77,,23203475
Rifampin,D012293,13292-46-1,Neurodegenerative Diseases,MESH:D019636,,HMOX1,5.69,,10942521|12709579|15964507
nimesulide,C012655,51803-78-2,"Carcinoma, Squamous Cell",MESH:D002294,therapeutic,,,,15482327
C 1305,C488734,,Kyphosis,MESH:D007738,,PARP1,6.08,,20561897
Fulvestrant,D000077267,129453-61-8,Spinocerebellar Degenerations,MESH:D013132,,SIL1,3.92,248800,
Dextran Sulfate,D016264,9042-14-2,Dyskinesias,MESH:D020820,,CP,2.43,,12572680
cadmium sulfate,C037123,10124-36-4,Leukostasis,MESH:D018921,,PPARG,3.59,,12468449
azoxystrobin,C087670,131860-33-8,Malformations of Cortical Development,MESH:D054220,,KIF5C,5.11,,23603762
Phenformin,D010629,114-86-3,"Leukemia, Myeloid, Acute",MESH:D015470,,RGS2,7.71,,17330099
anemoside B4,C000620474,,"Liver Failure, Acute",MESH:D017114,,MAPK8,6.41,,17185352
sodium arsenite,C017947,13768-07-5,"Leukemia, Promyelocytic, Acute",MESH:D015473,,DAPK2,16.48,,28978663
"2,3,7,8-tetrachlorodibenzofuran",C014211,51207-31-9,Status Epilepticus,MESH:D013226,,AQP4,12.65,,20886625
trichostatin A,C012589,58880-19-6,Hay-Wells syndrome,MESH:C535847,,TP63,4.04,106260,19239083|19676059
Irbesartan,D000077405,138402-11-6,Hyperglycemia,MESH:D006943,,PTGS2,4.48,,14514642
Vitamin K 3,D024483,58-27-5,Reperfusion Injury,MESH:D015427,,TICAM1,36.1,,25780291
Halothane,D006221,151-67-7,Lung Neoplasms,MESH:D008175,,HMOX1,28.61,,15688187|18508827|31227482
Mustard Gas,D009151,505-60-2,"Arthritis, Juvenile",MESH:D001171,,CXCR2,50.51,,19565504
PF-06840003,C000625742,,Cognition Disorders,MESH:D003072,,PSEN1,9.69,,26945731
Selenium,D012643,7782-49-2,Ureteral Obstruction,MESH:D014517,,HES1,11.1,,28318631
tributyl phosphate,C009524,126-73-8,"Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal",MESH:C566131,,CYP11A1,5.57,613743,
Carbamazepine,D002220,298-46-4,Autistic Disorder,MESH:D001321,,CHRNA4,64.22,,15046869
nefazodone,C051752,83366-66-9,Chemical and Drug Induced Liver Injury,MESH:D056486,,CCT3,61.33,,25231249
titanium dioxide,C009495,13463-67-7,Neoplasm Metastasis,MESH:D009362,,CSF1R,55.92,,1390197
Glyphosate,D000097797,,Hyperprolactinemia,MESH:D006966,,GAD1,2.66,,7138674
antimycin,C032456,11118-72-2,Neoplasm Metastasis,MESH:D009362,,TNF,9.02,,23431386|8032535
bromobenzene,C032036,108-86-1,Respiratory Hypersensitivity,MESH:D012130,,MT1,3.61,,17085522
Uric Acid,D014527,69-93-2,"Osteogenesis imperfecta, type 3",MESH:C536044,,COL1A1,4.74,259420,
LDN 193189,C554430,,Esophageal Squamous Cell Carcinoma,MESH:D000077277,,CFL1,36.35,,21517111
Zinc,D015032,7440-66-6,Multiple Sclerosis,MESH:D009103,,TNFAIP3,43.4,,24076602
zinc sulfide,C031238,1314-98-3,Stomach Neoplasms,MESH:D013274,,MAPK1,36.37,,17003101
Melatonin,D008550,73-31-4,"Liver Cirrhosis, Experimental",MESH:D008106,,MKI67,129.13,,25380136
Tetracyclines,D013754,,Trichuriasis,MESH:D014257,,IFNG,13.05,,20864659
"2,2',4,4'-tetrabromodiphenyl ether",C511295,,Cognition Disorders,MESH:D003072,,MAOA,2.61,,24402517
Gentamicins,D005839,,Prostatic Neoplasms,MESH:D011471,,IL6,240.73,,15672864|17196171|19011039|19240160|25970160
Air Pollutants,D000393,,Varicose Veins,MESH:D014648,,TNC,4.35,,17643059
diphenylcarboxylate,C062963,93-99-2,"Liver Cirrhosis, Alcoholic",MESH:D008104,,IL6,4.22,,23274713
Reactive Oxygen Species,D017382,,Pneumonia,MESH:D011014,,CD40LG,38.16,,21625544
vanadyl sulfate,C034028,27774-13-6,Necrosis,MESH:D009336,,BCL2,3.08,,11781163|16532269
di-n-butylphosphoric acid,C065087,107-66-4,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 12,OMIM:613722,,PLCB1,3.98,613722,
Superoxides,D013481,11062-77-4,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,MT3,9.25,,17043644
"3,4,5,3',4'-pentachlorobiphenyl",C023035,57465-28-8,"NEPHROTIC SYNDROME, TYPE 10",OMIM:615861,,EMP2,4.57,615861,
Tetrachlorodibenzodioxin,D013749,1746-01-6,Acute Kidney Injury,MESH:D058186,,PPARG,19.02,,20623750|24011919|24433871
Cysteine Proteinase Inhibitors,D015853,,Thymoma,MESH:D013945,,TP53,4.64,,24974848
Histamine,D006632,51-45-6,Prostatic Neoplasms,MESH:D011471,,NPPA,49.93,,18225537
Cadmium,D002104,7440-43-9,Prostatic Neoplasms,MESH:D011471,,GNG5,348.26,,17013881
indole-3-carbinol,C016517,700-06-1,"Leukemia, Myeloid, Acute",MESH:D015470,,PVR,7.86,,29855615
decamethrin,C017180,52820-00-5,"Diabetes Mellitus, Type 2",MESH:D003924,,BCL2,36.45,,16959961|31626838
Heparin,D006493,9005-49-6,"Lymphoma, Non-Hodgkin",MESH:D008228,,BCL2,4.61,,26239085|3287162
lead acetate,C008261,301-04-2,"Disease Models, Animal",MESH:D004195,,MECP2,46.44,,28592917|33010341
benazol P,C033674,2440-22-4,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,HIF1A,16.68,,30381462
ruboxistaurin,C099154,169939-94-0,Asthma,MESH:D001249,,NOS2,3.46,,19800904
Coordination Complexes,D056831,,Neoplasm Metastasis,MESH:D009362,,MAPK1,20.31,,22580338
"Nanotubes, Carbon",D037742,,"Carcinoma, Ductal, Breast",MESH:D018270,,SERPINB5,9.94,,19944674
tetrabromobisphenol A,C020806,79-94-7,"Carcinoma, Small Cell",MESH:D018288,,TP53,7.22,,17290066
Dioxins,D004147,,Recurrence,MESH:D012008,,CD274,2.16,,22396772
Choline,D002794,62-49-7,"Trauma, Nervous System",MESH:D020196,,P2RX3,3.88,,24136739
daidzein,C004742,486-66-8,"Arthritis, Experimental",MESH:D001169,,IL4,35.64,,10444273
"Water Pollutants, Chemical",D014874,,Microphthalmos,MESH:D008850,,SHH,3.5,,31690747|32472575
Vincristine,D014750,,Colorectal Neoplasms,MESH:D015179,,DHFR,86.17,,15814641
Stavudine,D018119,3056-17-5,Stomach Neoplasms,MESH:D013274,,HSPD1,39.8,,15378696|19424620
naringenin,C005273,480-41-1,"Glomerulosclerosis, Focal Segmental",MESH:D005923,,PCNA,17.81,,17121042
Clorgyline,D003010,17780-72-2,Skin Diseases,MESH:D012871,,TNF,6.3,,16835338
1-(4-hydroxyiminomethylpyridinium)-4-(4-carbamoylpyridinium)butane,C488676,,Hematologic Neoplasms,MESH:D019337,,PON1,5.34,,22800774
abrine,C496492,,Neoplasm Invasiveness,MESH:D009361,,CSE1L,32.23,,34022224
bisphenol A,C006780,80-05-7,Pancreatic Neoplasms,MESH:D010190,,HNF1B,7.84,,39887605
Copper Sulfate,D019327,7758-98-7,Ataxia,MESH:D001259,,CACNB4,6.36,,10762541
hexabromocyclododecane,C089796,25637-99-4,Premature Birth,MESH:D047928,,IL4,2.52,,23982189|26055944
Iodoacetamide,D007460,144-48-9,"Neoplasms, Second Primary",MESH:D016609,,GSTM1,4.78,,16703596
Methylprednisolone,D008775,83-43-2,Hematoma,MESH:D006406,therapeutic,,,,16479722
fluoranthene,C007738,206-44-0,Osteoporosis,MESH:D010024,,ANTXR2,3.47,,12973667
Methionine,D008715,63-68-3,"Micronuclei, Chromosome-Defective",MESH:D048629,,HIF1A,2.22,,23065176
anandamide,C078814,94421-68-8,Glioblastoma,MESH:D005909,,VEGFA,7.53,,16356833
4-hydroxy-2-nonenal,C027576,29343-52-0,Peptic Ulcer,MESH:D010437,,EDN1,3.39,,16384872
Egtazic Acid,D004533,67-42-5,"Liver Cirrhosis, Experimental",MESH:D008106,,TRPV1,27.04,,17043671
trichostatin A,C012589,58880-19-6,Hyperoxia,MESH:D018496,,TNFRSF1A,6.13,,10781441
Ptychodiscus brevis T2 toxin,C051732,,Neoplasm Invasiveness,MESH:D009361,,MAPK3,8.2,,22580338
n-butoxyethanol,C017096,111-76-2,"Hernia, Diaphragmatic",MESH:D006548,,ICAM1,25.64,,12759764|17245593
lipoxin A4,C040527,,Status Epilepticus,MESH:D013226,,CASP3,14.75,,16679645|18571097
4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,Cardiomyopathies,MESH:D009202,,TP53,49.33,,31618665
MitoTEMPO,C555916,,Heart Arrest,MESH:D006323,,TNF,2.35,,9806674
"9,10-dihydro-9,10-dihydroxybenzo(a)pyrene",C020738,24909-09-9,Neoplasm Metastasis,MESH:D009362,,ERBB2,7.9,,16984552
Bortezomib,D000069286,,Glioblastoma,MESH:D005909,therapeutic,,,,18771084
nivalenol,C038405,23282-20-4,Inflammation,MESH:D007249,,TNF,23.53,,11181422|12843254|14970111|16001271|16227999|19324842|19803787|20167660|20943792|21146893|21467745|22452660|23348408|23371441|23795810|34942311
pentanal,C046012,110-62-3,Acute Kidney Injury,MESH:D058186,,TF,2.28,,28885000
Glucocorticoids,D005938,,Inflammatory Bowel Diseases,MESH:D015212,,IL10,8.84,,23291587|27783946|28411859
"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,"Thrombocythemia, Essential",MESH:D013920,,FGF2,3.67,,15682418
cinerubine A,C000481,34044-10-5,Depressive Disorder,MESH:D003866,,NR3C1,4.78,,14708030
"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide",D015123,55097-80-8,Kidney Neoplasms,MESH:D007680,,MAPK3,7.06,,21813464
mustard oil,C027793,8007-40-7,Sepsis,MESH:D018805,,MAPK1,7.61,,15489642
"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol",C054649,83003-12-7,Nerve Degeneration,MESH:D009410,,CNR1,21.44,,11517236|24211273
Flame Retardants,D005411,,Hypertension,MESH:D006973,,SOD1,21.43,,25101153|32165127|9024144
Cannabidiol,D002185,13956-29-1,Drug Hypersensitivity,MESH:D004342,,GSTP1,3.12,,20485159
Choline,D002794,62-49-7,Berylliosis,MESH:D001607,,TNF,6.45,,12449171|15127972|16980557|8428540
tauropyrone,C518135,,"Liver Cirrhosis, Experimental",MESH:D008106,,RELA,3.55,,26806094
"(3-(4-(bis(2-chloroethyl)amino)phenyl)-3-propyl)carbamic acid 2-(6-(17-hydroxy-13-methyl-3-oxo-2,3,6,7,8,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta(a)phenanthren-11-yl)hexylamino)ethyl ester",C513485,,Atherosclerosis,MESH:D050197,,PARP1,3.67,,18093987|19124646
Vanadates,D014638,,Myocardial Reperfusion Injury,MESH:D015428,,SORD,17.98,,18549825
