06-Paris-LA-66 protocol,C046983,Unnamed: 2,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,Unnamed: 6,Unnamed: 7,Unnamed: 8,4519131
xanthohumol,C104536,6754-58-1,Spinocerebellar Ataxia 17,MESH:C564616,,HMOX1,8.99,,24413982
Cysteine Proteinase Inhibitors,D015853,,Trigeminal Neuralgia,MESH:D014277,,TNF,3.75,,27093858
Methyl Methanesulfonate,D008741,66-27-3,"Burns, Chemical",MESH:D002057,,ALOX12,2.36,,22533443
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Acute Kidney Injury,MESH:D058186,,HP,15.1,,28885000
Acrylamide,D020106,,Hemorrhage,MESH:D006470,,SERPINA1,10.38,,412531
Atrazine,D001280,1912-24-9,Neoplasms,MESH:D009369,,AKR1B10,3.96,,17329238
Streptozocin,D013311,18883-66-4,Alzheimer Disease,MESH:D000544,,APP,67.06,104300,12192006|12572668|12746438|12852432|1497677|15590663|15591071|15993441|16204253|16266835|16325427|16492752|16651627|1671712|1678058|16969627|17239395|17430250|18583042|19286555|19818510|20111991|20157255|20640797|21157020|21209907|21980910|22507317|23827522|25352456|25714973|27117003|27567873|28448946|29420472|30320580
halofuginone,C010176,,Calcinosis,MESH:D002114,,TIMP2,19.19,,24142982
Thioacetamide,D013853,62-55-5,Hyperemia,MESH:D006940,,ADA,5.46,,2502780|7949234
GABA-A Receptor Agonists,D058785,,Hypotension,MESH:D007022,marker/mechanism,,,,15730591|9711203
chrysin,C043561,480-40-0,"Hypomagnesemia 4, Renal",MESH:C567127,,EGF,5.22,611718,
Smoke,D012906,,Obesity,MESH:D009765,,TFRC,33.27,,17062801|20882379
LQFM166,C000628228,,Papilloma,MESH:D010212,,CDKN1A,4.33,,12151359
Resveratrol,D000077185,,Alzheimer Disease,MESH:D000544,,INS,32.13,,15750215|9443474
Progesterone Congeners,D045167,,Disorders of Sex Development,MESH:D012734,marker/mechanism,,,,4416533
Benzoic Acid,D019817,,Insulin Resistance,MESH:D007333,,INSR,16.17,,10949030|11887975
Ifosfamide,D007069,3778-73-2,Schizophrenia,MESH:D012559,,AVP,8.93,,3567260
Cannabinoids,D002186,,Ureteral Obstruction,MESH:D014517,,MMP7,14.09,,28318631
Methylmercury Compounds,D008767,,Lymphatic Metastasis,MESH:D008207,,STAT3,12.99,,21549414
Glycochenodeoxycholic Acid,D005999,640-79-9,"Leukemia, Megakaryoblastic, Acute",MESH:D007947,,BIRC5,4.81,,16166298
1-(4-ethylphenyl-)-N-((2-methoxyphenyl)methyl) propane-2-amine,C000626967,,"Kidney Failure, Chronic",MESH:D007676,,CYP2B6,9.79,,15248218
